text,true_emotion,predicted_emotion
@r0Ils ppl get triggered over u smiling they're irrelevant,joy,joy
@HunterDean_ [he gives a gleeful squeak and wraps around you] All mine!,joy,joy
Google caffeine-an sprightly lengthening into the corridor re seo: WgJ,joy,joy
@tomlinmayniac starting my new challenge ! A glee poll every day !,joy,joy
I hate it when im singing and some idiot thinks they can just join in with me like...this is not fcking glee #MeanRikonaBot,joy,anger
"Good #CX most often doesn't require all that much. #smile, #care, #relate and be #helpful. Thanks, Lakis Court Hotel in #cyprus",joy,joy
@trashcami this cured my depression,sadness,joy
Should of stayed in Dubai 😞,sadness,sadness
Wow just watched Me Before You and it was seriously one of the most depressing movies of my life,sadness,sadness
aaahhhh! a little @OtisRedding to soothe the soul. #music #blues,sadness,joy
Rooney is 5 yards off the pace in a League Cup game against Northampton Town. Let that sink in for a moment. #MUFC,sadness,sadness
“Dyslexia is the affliction of a frozen genius.”― Stephen Richards,sadness,sadness
@AnjiDunlap droop in leggings? Are they wearing XXXL?,sadness,sadness
"340:892 All with weary task fordone.\nNow the wasted brands do glow,\nWhilst the scritch-owl, scritching loud,\n#AMNDBots",sadness,sadness
"@LeePorter94 @DomMcGovern_ hi Dom I saw u at Notts county away, looking for 1 mufc away ticket will pay ",sadness,joy
HATE that there's ads for #depression &amp; #mentalhealth #meds. That's ONLY something your doctor can determine. Everyone is different. #ssri,sadness,anger
@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,sadness,anger
"Don't be disheartened if you didn't get the cards you wanted, it's not the end of the world......E-Eh...? Y-You want me to cheer you up?",sadness,sadness
"Donating to Trump puts a damper on a very exciting @Cubs season. Really bad look, Ricketts family.",sadness,anger
@xOffWithMyHeadx They've officially said all the episodes left (so future 12 and despair 11 and 12) will be delayed.,sadness,sadness
"We are about a little over an hour away! We will arrive soon, do not fret!",sadness,joy
All I want to do is watch some netflix but I am stuck here in class. #depressing,sadness,sadness
It's basically a dead skin peel which sounds grim. But it literally gets rid of so much dead skin from your pores.,sadness,joy
Remembering those day when u still did'nt know kpop n thinking about how sad your life was without it - Kpop fan,sadness,joy
"I'd rather laugh with the rarest genius, in beautiful alliance with his own being, where he kept his sadness. #melancholy",sadness,sadness
@kayleighmcenany  @DonaldJTrumpJr Is that really all you can offer for those who sacrifice daily to keep you safe...? @kayleighmcenany #sad,sadness,sadness
